host,node_role,cluster,manufacturer,model,serialnumber,sku,memory,processor_mode,processor_count,processor_cores,processor_cores_total,chassis_bay,mac_addresses
wrk-31.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372O005Q,JVCMDH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:9E:16:15,10:7D:1A:9E:16:18"
wrk-32.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30091J000J,DRZFZV2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"40:5C:FD:69:C7:01,40:5C:FD:69:C7:04"
wrk-33.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372O0016,50HYKH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"40:5C:FD:69:C7:EF,40:5C:FD:69:C7:F2"
wrk-34.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS3007AO001K,50J3LH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"40:5C:FD:69:C7:69,40:5C:FD:69:C7:6C"
wrk-36.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016371V00BJ,50H5LH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"40:5C:FD:69:C7:1B,40:5C:FD:69:C7:1E"
wrk-37.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N00ES,50HXKH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"40:5C:FD:69:C9:5D,40:5C:FD:69:C9:60"
wrk-38.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372D00GD,50HWKH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"40:5C:FD:69:C7:83,40:5C:FD:69:C7:86"
wrk-39.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372O000B,50HZKH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"40:5C:FD:69:CF:15,40:5C:FD:69:CF:18"
wrk-40.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N0061,JVCQHH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:A1:A4:C1,10:7D:1A:A1:A4:C4"
wrk-41.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N005Y,JVCQDH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:A1:A5:AF,10:7D:1A:A1:A5:B2"
wrk-42.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N0086,JVCRJH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:A1:A5:29,10:7D:1A:A1:A5:2C"
wrk-43.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N0028,JVCRDH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:A1:AB:67,10:7D:1A:A1:AB:6A"
wrk-44.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CNWS30086H007J,JVCRHH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:A1:A4:DB,10:7D:1A:A1:A4:DE"
wrk-45.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N007F,JVCPHH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:A1:A7:1D,10:7D:1A:A1:A7:20"
wrk-46.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N004O,JVCQJH2,119.209344,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:A1:A5:43,10:7D:1A:A1:A5:46"
wrk-47.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016372N000J,JVCPJH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:A1:AC:D5,10:7D:1A:A1:AC:D8"
wrk-48.nerc-ocp-prod.rc.fas.harvard.edu,openshift_worker,nerc-ocp-prod,Dell Inc.,PowerEdge FC430,CN7016367F000Q,JVBTJH2,128.0,Intel(R) Xeon(R) CPU E5-2640 v4 @ 2.40GHz,2,10,20,,"10:7D:1A:C2:DA:41,10:7D:1A:C2:DA:44"
